polar angle azimuth angle         value
         65      -121.846  -1.07341e-05
         65      -116.308  -1.01415e-05
         65      -110.769   3.30823e-06
         65      -105.231  -4.62848e-06
         65      -99.6923   2.90712e-06
         65      -94.1538    2.4054e-06
         65      -88.6154   1.67447e-05
         65      -83.0769   1.16256e-05
         65      -77.5385   6.98233e-06
         65           -72   9.64364e-06
         65      -66.4615   1.96127e-05
         65      -60.9231   2.32414e-05
         65      -55.3846  -1.12634e-05
         65      -49.8462    1.6677e-05
         65      -44.3077  -6.75973e-06
         65      -38.7692    0.00029563
         65      -33.2308     0.0187636
         65      -27.6923     0.0583612
         65      -22.1538      0.107923
         65      -16.6154      0.157691
         65      -11.0769       0.19933
         65      -5.53846      0.226845
         70       2.64706      0.316502
         70       7.94118      0.295635
         70       13.2353      0.256187
         70       18.5294      0.202623
         70       23.8235      0.141568
         70       29.1176     0.0812817
         70       34.4118     0.0314705
         70       39.7059    0.00292245
         70            45  -1.71781e-05
         70       50.2941  -2.14018e-05
         70       55.5882   1.22452e-05
         70       60.8824  -6.89743e-06
         70       66.1765  -1.82975e-05
         70       71.4706  -8.18453e-06
         70       76.7647   9.52119e-07
         70       82.0588   3.50171e-06
         70       87.3529   7.56524e-06
         70       92.6471   7.22365e-06
         70       97.9412   7.60847e-06
         70       103.235  -5.22865e-06
         70       108.529  -2.52979e-06
         70       113.824  -6.71319e-06
         70       119.118   -1.7759e-05
         70       124.412  -6.22348e-06
         70       129.706    -8.597e-06
         70           135  -1.68028e-06
         70       140.294  -7.06369e-06
         70       145.588  -1.42159e-05
         70       150.882  -7.84632e-06
         70       156.176  -1.35846e-05
         70       161.471   3.89763e-06
         70       166.765   1.60209e-05
         70       172.059  -8.46931e-06
         70       177.353  -6.82635e-06
         70      -177.353  -6.77505e-06
         70      -172.059  -8.50342e-06
         70      -166.765   1.60425e-05
         70      -161.471   3.76708e-06
         70      -156.176   -1.3504e-05
         70      -150.882  -7.96813e-06
         70      -145.588  -1.39515e-05
         70      -140.294  -6.91776e-06
         70          -135   -1.8427e-06
         70      -129.706  -8.63676e-06
         70      -124.412  -6.27774e-06
         70      -119.118  -1.77465e-05
         70      -113.824  -6.83922e-06
         70      -108.529  -2.54803e-06
         70      -103.235  -5.29093e-06
         70      -97.9412   7.57602e-06
         70      -92.6471    7.2475e-06
         70      -87.3529   7.43187e-06
         70      -82.0588   3.72407e-06
         70      -76.7647    8.7957e-07
         70      -71.4706  -8.40277e-06
         70      -66.1765  -1.85556e-05
         70      -60.8824  -7.21827e-06
         70      -55.5882   1.20969e-05
         70      -50.2941  -2.16366e-05
         70           -45  -1.75621e-05
         70      -39.7059    0.00292169
         70      -34.4118     0.0314704
         70      -29.1176     0.0812815
         70      -23.8235      0.141568
         70      -18.5294      0.202623
         70      -13.2353      0.256187
         70      -7.94118      0.295635
         70      -2.64706      0.316502
         75             0      0.392844
         75       5.14286      0.381464
         75       10.2857      0.348359
         75       15.4286      0.296745
         75       20.5714      0.231972
         75       25.7143      0.161083
         75       30.8571     0.0927406
         75            36     0.0368521
         75       41.1429    0.00418054
         75       46.2857   1.19372e-05
         75       51.4286   1.27596e-06
         75       56.5714   1.97583e-05
         75       61.7143  -1.15329e-05
         75       66.8571   2.68489e-06
         75            72   1.36544e-05
         75       77.1429   8.47599e-06
         75       82.2857      1.14e-06
         75       87.4286  -7.03976e-06
         75       92.5714  -2.85571e-06
         75       97.7143  -1.30714e-05
         75       102.857   2.04309e-07
         75           108  -7.14136e-07
         75       113.143  -9.49951e-06
         75       118.286   5.22526e-07
         75       123.429  -5.72468e-06
         75       128.571  -2.10575e-06
         75       133.714   4.71305e-06
         75       138.857  -9.48609e-07
         75           144  -2.49946e-06
         75       149.143  -2.56457e-06
         75       154.286  -2.98277e-06
         75       159.429  -2.63607e-06
         75       164.571   -4.4994e-06
         75       169.714   6.82495e-06
         75       174.857  -5.53337e-06
         75           180  -6.82132e-07
         75      -174.857  -5.57079e-06
         75      -169.714   6.82052e-06
         75      -164.571    -4.446e-06
         75      -159.429  -2.51939e-06
         75      -154.286   -2.9248e-06
         75      -149.143  -2.44066e-06
         75          -144  -2.55821e-06
         75      -138.857  -9.40008e-07
         75      -133.714   4.92368e-06
         75      -128.571  -1.91298e-06
         75      -123.429  -5.55272e-06
         75      -118.286   4.93847e-07
         75      -113.143  -9.37604e-06
         75          -108  -8.03172e-07
         75      -102.857   2.72706e-07
         75      -97.7143  -1.29871e-05
         75      -92.5714   -2.9078e-06
         75      -87.4286  -6.96582e-06
         75      -82.2857   1.09454e-06
         75      -77.1429   8.53136e-06
         75           -72   1.36682e-05
         75      -66.8571   2.87092e-06
         75      -61.7143  -1.16362e-05
         75      -56.5714   1.97663e-05
         75      -51.4286   1.09262e-06
         75      -46.2857   1.20994e-05
         75      -41.1429    0.00418037
         75           -36     0.0368522
         75      -30.8571     0.0927405
         75      -25.7143      0.161083
         75      -20.5714      0.231972
         75      -15.4286      0.296745
         75      -10.2857      0.348359
         75      -5.14286      0.381464
         80       2.53521      0.447583
         80       7.60563       0.42365
         80       12.6761       0.37788
         80       17.7465      0.314561
         80       22.8169      0.239775
         80       27.8873      0.161381
         80       32.9577     0.0886496
         80       38.0282       0.03186
         80       43.0986    0.00200196
         80        48.169   1.15219e-05
         80       53.2394  -6.90258e-06
         80       58.3099   8.32444e-06
         80       63.3803  -2.81286e-06
         80       68.4507   1.36995e-05
         80       73.5211   6.94954e-06
         80       78.5915  -2.99458e-06
         80        83.662  -5.79174e-06
         80       88.7324  -3.33658e-06
         80       93.8028  -1.17144e-05
         80       98.8732  -3.36249e-06
         80       103.944   4.41777e-07
         80       109.014  -7.40214e-06
         80       114.085  -7.24164e-06
         80       119.155   1.30495e-06
         80       124.225  -4.39224e-06
         80       129.296  -3.56529e-06
         80       134.366  -3.30769e-06
         80       139.437  -4.20321e-07
         80       144.507   1.04179e-06
         80       149.577   4.77957e-07
         80       154.648   1.04707e-05
         80       159.718   3.88117e-06
         80       164.789  -4.33153e-06
         80       169.859   3.56507e-07
         80        174.93  -2.97877e-06
         80           180   7.87089e-06
         80       -174.93  -3.04273e-06
         80      -169.859   4.04064e-07
         80      -164.789  -4.16369e-06
         80      -159.718    3.9751e-06
         80      -154.648   1.04581e-05
         80      -149.577   6.14189e-07
         80      -144.507   9.48891e-07
         80      -139.437  -5.24649e-07
         80      -134.366  -3.09705e-06
         80      -129.296  -3.53378e-06
         80      -124.225   -4.3435e-06
         80      -119.155   1.27667e-06
         80      -114.085   -7.1898e-06
         80      -109.014   -7.3667e-06
         80      -103.944   3.27649e-07
         80      -98.8732  -3.27985e-06
         80      -93.8028  -1.15989e-05
         80      -88.7324  -3.21242e-06
         80       -83.662  -5.89082e-06
         80      -78.5915  -2.94777e-06
         80      -73.5211   7.06829e-06
         80      -68.4507   1.38775e-05
         80      -63.3803  -2.77811e-06
         80      -58.3099   8.51715e-06
         80      -53.2394  -6.69372e-06
         80       -48.169   1.17199e-05
         80      -43.0986    0.00200205
         80      -38.0282     0.0318601
         80      -32.9577     0.0886497
         80      -27.8873      0.161381
         80      -22.8169      0.239775
         80      -17.7465      0.314561
         80      -12.6761       0.37788
         80      -7.60563       0.42365
         80      -2.53521      0.447583
         85             0      0.487396
         85             5      0.474995
         85            10      0.438855
         85            15      0.382098
         85            20      0.309735
         85            25      0.228614
         85            30      0.147112
         85            35     0.0747955
         85            40     0.0221449
         85            45   0.000141852
         85            50   9.95966e-06
         85            55   5.21087e-06
         85            60  -4.78509e-06
         85            65  -3.53471e-06
         85            70   1.05738e-05
         85            75  -1.67081e-06
         85            80  -8.21611e-06
         85            85  -6.15344e-06
         85            90  -4.36418e-06
         85            95   5.00073e-06
         85           100   1.08422e-05
         85           105    6.5092e-06
         85           110   2.49876e-06
         85           115   1.52836e-05
         85           120   3.96133e-06
         85           125   1.41128e-05
         85           130   1.85909e-06
         85           135    1.1074e-06
         85           140   4.74616e-06
         85           145   1.51921e-05
         85           150   1.08254e-05
         85           155    3.1081e-06
         85           160  -5.93164e-06
         85           165   1.39449e-06
         85           170  -7.13316e-06
         85           175   1.10276e-05
         85           180  -4.36979e-07
         85          -175   1.10101e-05
         85          -170  -7.19311e-06
         85          -165   1.28912e-06
         85          -160  -6.08745e-06
         85          -155   3.11325e-06
         85          -150   1.06574e-05
         85          -145   1.51807e-05
         85          -140   4.73508e-06
         85          -135   1.01446e-06
         85          -130   1.84639e-06
         85          -125   1.40844e-05
         85          -120   3.94349e-06
         85          -115    1.5208e-05
         85          -110   2.56643e-06
         85          -105   6.52485e-06
         85          -100   1.07816e-05
         85           -95   4.91489e-06
         85           -90  -4.21366e-06
         85           -85  -6.35565e-06
         85           -80  -8.29701e-06
         85           -75  -1.64054e-06
         85           -70   1.05972e-05
         85           -65  -3.46129e-06
         85           -60  -4.67948e-06
         85           -55   5.46511e-06
         85           -50   1.02686e-05
         85           -45   0.000142777
         85           -40     0.0221451
         85           -35     0.0747954
         85           -30      0.147112
         85           -25      0.228614
         85           -20      0.309736
         85           -15      0.382098
         85           -10      0.438856
         85            -5      0.474995
         90           2.5       0.49684
         90           7.5      0.471873
         90          12.5      0.424117
         90          17.5      0.357626
         90          22.5      0.278457
         90          27.5      0.194302
         90          32.5      0.114238
         90          37.5     0.0484311
         90          42.5    0.00773768
         90          47.5   5.47381e-06
         90          52.5   6.01719e-06
         90          57.5   4.25573e-06
         90          62.5   -5.7825e-06
         90          67.5   2.98994e-07
         90          72.5   1.03474e-05
         90          77.5  -2.74785e-06
         90          82.5   -8.5487e-06
         90          87.5  -9.44615e-06
         90          92.5  -1.00309e-06
         90          97.5    3.2441e-06
         90         102.5   9.65836e-06
         90         107.5   1.03684e-05
         90         112.5   4.14302e-06
         90         117.5   8.48732e-06
         90         122.5   3.02161e-06
         90         127.5   8.27075e-06
         90         132.5   1.71938e-06
         90         137.5   7.65391e-07
         90         142.5   5.57271e-06
         90         147.5   3.02065e-06
         90         152.5   2.63006e-06
         90         157.5  -6.90756e-06
         90         162.5   5.51432e-06
         90         167.5  -3.75161e-06
         90         172.5  -1.68683e-06
         90         177.5   3.05593e-06
         90        -177.5   3.16794e-06
         90        -172.5  -1.75649e-06
         90        -167.5  -3.80247e-06
         90        -162.5   5.33182e-06
         90        -157.5   -7.0349e-06
         90        -152.5   2.51424e-06
         90        -147.5   3.05455e-06
         90        -142.5   5.56467e-06
         90        -137.5   7.03105e-07
         90        -132.5   1.63216e-06
         90        -127.5       8.2e-06
         90        -122.5   2.89242e-06
         90        -117.5   8.38064e-06
         90        -112.5   4.22807e-06
         90        -107.5   1.02662e-05
         90        -102.5   9.63332e-06
         90         -97.5   3.16094e-06
         90         -92.5  -9.01902e-07
         90         -87.5  -9.53175e-06
         90         -82.5  -8.68131e-06
         90         -77.5  -2.81047e-06
         90         -72.5   1.03398e-05
         90         -67.5    3.4485e-07
         90         -62.5  -5.82988e-06
         90         -57.5   4.34676e-06
         90         -52.5   5.98627e-06
         90         -47.5   5.77549e-06
         90         -42.5    0.00773743
         90         -37.5     0.0484312
         90         -32.5      0.114238
         90         -27.5      0.194302
         90         -22.5      0.278457
         90         -17.5      0.357626
         90         -12.5      0.424117
         90          -7.5      0.471873
         90          -2.5       0.49684
         95             0      0.487408
         95             5      0.474995
         95            10      0.438859
         95            15      0.382075
         95            20      0.309735
         95            25      0.228638
         95            30      0.147125
         95            35     0.0748086
         95            40     0.0221531
         95            45   0.000154424
         95            50   2.66846e-06
         95            55   4.99783e-07
         95            60   4.49175e-06
         95            65  -5.76196e-06
         95            70   3.74888e-07
         95            75   8.84667e-06
         95            80  -2.53068e-06
         95            85  -1.25767e-05
         95            90  -5.55673e-06
         95            95  -3.21511e-06
         95           100   4.47322e-06
         95           105   1.19124e-05
         95           110    9.1145e-06
         95           115  -2.12967e-06
         95           120   1.04749e-05
         95           125  -2.32445e-06
         95           130   6.87031e-06
         95           135   2.48016e-06
         95           140   3.90246e-06
         95           145   3.39289e-07
         95           150  -1.57813e-06
         95           155  -4.64455e-07
         95           160   6.08298e-06
         95           165  -3.61765e-06
         95           170  -4.11498e-06
         95           175   -5.0891e-06
         95           180   1.03463e-05
         95          -175  -5.05461e-06
         95          -170  -4.13763e-06
         95          -165  -3.64541e-06
         95          -160   6.07581e-06
         95          -155  -6.06692e-07
         95          -150  -1.46538e-06
         95          -145    3.4601e-07
         95          -140   3.90048e-06
         95          -135    2.5185e-06
         95          -130   6.82648e-06
         95          -125  -2.31048e-06
         95          -120   1.03034e-05
         95          -115  -2.07716e-06
         95          -110   9.02442e-06
         95          -105   1.18128e-05
         95          -100   4.46504e-06
         95           -95  -3.17098e-06
         95           -90  -5.66784e-06
         95           -85   -1.2578e-05
         95           -80  -2.68237e-06
         95           -75   8.80923e-06
         95           -70   4.54387e-07
         95           -65  -5.80316e-06
         95           -60   4.48437e-06
         95           -55   4.14004e-07
         95           -50   2.81682e-06
         95           -45   0.000154062
         95           -40      0.022153
         95           -35     0.0748087
         95           -30      0.147124
         95           -25      0.228638
         95           -20      0.309735
         95           -15      0.382075
         95           -10      0.438859
         95            -5      0.474995
        100       2.53521      0.447595
        100       7.60563      0.423648
        100       12.6761      0.377865
        100       17.7465      0.314549
        100       22.8169      0.239774
        100       27.8873      0.161394
        100       32.9577     0.0886608
        100       38.0282     0.0318714
        100       43.0986    0.00200398
        100        48.169   1.84826e-06
        100       53.2394  -7.29493e-06
        100       58.3099   1.70622e-06
        100       63.3803   7.78931e-06
        100       68.4507   4.30151e-06
        100       73.5211  -1.31732e-06
        100       78.5915   1.25685e-05
        100        83.662   6.68825e-06
        100       88.7324   3.45945e-06
        100       93.8028  -6.83677e-06
        100       98.8732  -6.93761e-06
        100       103.944  -9.55141e-06
        100       109.014  -3.81829e-06
        100       114.085   3.88716e-06
        100       119.155  -2.99965e-06
        100       124.225  -1.07471e-06
